Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
DilatedRNN,0.07341828787322903,0.008079709497079137,0.08988720430116368,0.8905270747998292,0.1868869022578083,18.688690225780828,15.50437034146711,366.8748888893049,19.153978408918206,0.8897026016380053,0.09169538174512788,9.169538174512788,0.07341828787322903,0.008079709497079137,0.08988720430116368,0.8905270747998292,mensal,Tesla Gigafactory Texas,EUA,experimento
DeepAR_exp,0.23247432483853944,0.07306835706566554,0.2703115925476848,0.009988318213586367,0.5620120969204252,56.20120969204252,49.348186079898824,3292.74346156799,57.382431645652574,0.010068423096685208,0.2747055396471544,27.47055396471544,0.23247432483853944,0.07306835706566554,0.2703115925476848,0.009988318213586367,mensal,Tesla Gigafactory Texas,EUA,experimento
DeepNPTS_aprox,0.04456626062019878,0.003108467953553465,0.05575363623615472,0.9578830055846062,0.11591888352510207,11.591888352510207,9.496757002913972,140.10045490090698,11.836403799334787,0.9578801489202918,0.05666413220786252,5.666413220786252,0.04456626062019878,0.003108467953553465,0.05575363623615472,0.9578830055846062,mensal,Tesla Gigafactory Texas,EUA,experimento
DilatedRNN,0.09001568484846063,0.013737179493668783,0.11720571442412175,0.829625758807232,0.2356484284727725,23.56484284727725,17.284220655838954,507.64306529268725,22.530935739393676,0.8311629152399785,0.11359418608996937,11.359418608996936,0.09001568484846063,0.013737179493668783,0.11720571442412175,0.829625758807232,mensal,Hyundai Metaplant Georgia,EUA,experimento
DeepAR_exp,0.25081129248921324,0.07968642761663791,0.28228784532217804,0.011695621739216233,0.5675549818878619,56.75549818878619,48.430559964846644,2971.5026055587114,54.51149058280017,0.011707493748427056,0.27483050313252777,27.483050313252775,0.25081129248921324,0.07968642761663791,0.28228784532217804,0.011695621739216233,mensal,Hyundai Metaplant Georgia,EUA,experimento
DeepNPTS_aprox,0.05873573537710614,0.005125375848550096,0.07159173030839593,0.9364329467030027,0.1439390461609438,14.39390461609438,11.250133413866187,189.33263191224532,13.759819472371188,0.9370298309825721,0.06937286190808599,6.9372861908085985,0.05873573537710614,0.005125375848550096,0.07159173030839593,0.9364329467030027,mensal,Hyundai Metaplant Georgia,EUA,experimento
DilatedRNN,0.09595073913554038,0.013711131773617135,0.11709454203171528,0.8615596988617013,0.22031121241522728,22.031121241522726,23.477944443756446,820.3209659083777,28.641245886105892,0.8609558262506486,0.1592066829798576,15.92066829798576,0.09595073913554038,0.013711131773617135,0.11709454203171528,0.8615596988617013,mensal,Rivian Normal,EUA,experimento
DeepAR_exp,0.26456958558068183,0.0987833003575165,0.31429810746728415,0.0025921948147215046,0.5913460688643717,59.13460688643717,64.55020152292948,5880.223000547223,76.68261211348518,0.003303849892896338,0.42625185948148336,42.625185948148335,0.26456958558068183,0.0987833003575165,0.31429810746728415,0.0025921948147215046,mensal,Rivian Normal,EUA,experimento
DeepNPTS_aprox,0.07604380848076868,0.008130713984811586,0.09017047180098142,0.9179047717495794,0.1696540728699947,16.965407286999472,18.405559278865727,481.16757762126446,21.935532307679804,0.9184422304856729,0.12193196315518308,12.193196315518309,0.07604380848076868,0.008130713984811586,0.09017047180098142,0.9179047717495794,mensal,Rivian Normal,EUA,experimento
DilatedRNN,0.04095260273381637,0.002264166785825328,0.0475832616139891,0.9802324597249338,0.09214344434525971,9.214344434525971,11.63895974997115,179.1663242152501,13.385302544778362,0.9799279605029683,0.06066714934760492,6.066714934760492,0.04095260273381637,0.002264166785825328,0.0475832616139891,0.9802324597249338,mensal,Tesla Fremont Factory,EUA,experimento
DeepAR_exp,0.30521933010869756,0.1128847407953006,0.33598324481333974,0.01444819609518544,0.6506206672116008,65.06206672116008,85.22305426908346,8799.099984459293,93.80351797485686,0.014235051146039734,0.4251522903777304,42.51522903777304,0.30521933010869756,0.1128847407953006,0.33598324481333974,0.01444819609518544,mensal,Tesla Fremont Factory,EUA,experimento
DeepNPTS_aprox,0.038281224413806686,0.003002727191600924,0.054797145834440356,0.9737843823756246,0.10611289739731526,10.611289739731527,10.82553757742833,237.6689918758278,15.416516852902532,0.9733738948262395,0.06987336499911685,6.987336499911685,0.038281224413806686,0.003002727191600924,0.054797145834440356,0.9737843823756246,mensal,Tesla Fremont Factory,EUA,experimento
DilatedRNN,0.039583244627424734,0.00191183586770097,0.043724545368716755,0.9793251257041818,0.08267519496516668,8.267519496516668,9.524336959844932,111.83339352821878,10.575130898869233,0.9798446570197988,0.042887836610133866,4.288783661013387,0.039583244627424734,0.00191183586770097,0.043724545368716755,0.9793251257041818,mensal,Lucid AMP 1 Casa Grande,EUA,experimento
DeepAR_exp,0.27059550313499026,0.09018039029666364,0.3003004999940287,0.024775994200064044,0.5678138486239451,56.78138486239451,66.2257296511596,5410.659094568902,73.55718248117516,0.024855757663622136,0.29831388887032734,29.831388887032734,0.27059550313499026,0.09018039029666364,0.3003004999940287,0.024775994200064044,mensal,Lucid AMP 1 Casa Grande,EUA,experimento
DeepNPTS_aprox,0.0427098610142632,0.002604949283847731,0.051038703782989345,0.9718296952680893,0.0965049436293744,9.65049436293744,10.395137190738645,152.73111808936758,12.358443190360491,0.9724738025761147,0.05012012592302535,5.012012592302535,0.0427098610142632,0.002604949283847731,0.051038703782989345,0.9718296952680893,mensal,Lucid AMP 1 Casa Grande,EUA,experimento
DilatedRNN,0.05336692313763882,0.004000796061896466,0.06325184631215493,0.9503740952219818,0.1388988671177581,13.889886711775809,14.611783020019864,296.39328731959085,17.21607642058988,0.9501747650423539,0.10741275748733939,10.741275748733939,0.05336692313763882,0.004000796061896466,0.06325184631215493,0.9503740952219818,mensal,GM Factory Zero,EUA,experimento
DeepAR_exp,0.2537075768657557,0.08068434646931764,0.2840499013717795,-0.0008092472139129558,0.6237637603610836,62.37637603610836,68.9645334162079,5952.493905494056,77.15240699741037,-0.0006448192782491091,0.4813612916161418,48.13612916161418,0.2537075768657557,0.08068434646931764,0.2840499013717795,-0.0008092472139129558,mensal,GM Factory Zero,EUA,experimento
DeepNPTS_aprox,0.049281464227208784,0.00411660385585354,0.06416076570501275,0.9489376144650141,0.14089482267210296,14.089482267210297,13.244527235969121,300.508749725791,17.335188194126737,0.9494829346598149,0.10815590730453584,10.815590730453584,0.049281464227208784,0.00411660385585354,0.06416076570501275,0.9489376144650141,mensal,GM Factory Zero,EUA,experimento
DilatedRNN,0.05025614111188046,0.003819596296367621,0.06180288258946844,0.9535073832869576,0.1339795064955191,13.397950649551909,13.819369451756993,289.2372182261444,17.00697557551443,0.9518178063690743,0.10599847421108351,10.59984742110835,0.05025614111188046,0.003819596296367621,0.06180288258946844,0.9535073832869576,mensal,Ford Rouge Electric Vehicle Center,EUA,experimento
DeepAR_exp,0.2556326488849372,0.08218865410984844,0.28668563638565575,-0.00041085423710018887,0.6214920481532566,62.14920481532567,69.0581532413163,6006.19749243655,77.49966124078576,-0.0005343445804153468,0.48302802617217566,48.302802617217566,0.2556326488849372,0.08218865410984844,0.28668563638565575,-0.00041085423710018887,mensal,Ford Rouge Electric Vehicle Center,EUA,experimento
DeepNPTS_aprox,0.048016589095820905,0.003539384580845142,0.05949272712563395,0.9569181562790353,0.12897143120834445,12.897143120834444,13.214025665839083,265.5361780922078,16.295280853431397,0.955766012315706,0.10156273228213675,10.156273228213674,0.048016589095820905,0.003539384580845142,0.05949272712563395,0.9569181562790353,mensal,Ford Rouge Electric Vehicle Center,EUA,experimento
DilatedRNN,0.10445801574453283,0.015393003638023336,0.12406854411180675,0.7070132038157602,0.21486416048453802,21.4864160484538,20.595567938210255,593.2550653981433,24.35682790098381,0.7063994708499357,0.09828476254238735,9.828476254238735,0.10445801574453283,0.015393003638023336,0.12406854411180675,0.7070132038157602,mensal,BMW San Luis Potosi,Mexico,experimento
DeepAR_exp,0.20265210273228293,0.05166874300500731,0.22730759557262337,0.01654934723007062,0.39365542687804317,39.365542687804314,39.63737540962581,1986.952584523964,44.575246320395856,0.016661863947484146,0.17987019975173263,17.98701997517326,0.20265210273228293,0.05166874300500731,0.22730759557262337,0.01654934723007062,mensal,BMW San Luis Potosi,Mexico,experimento
DeepNPTS_aprox,0.09470909448668087,0.013720356255555977,0.11713392444358713,0.7388499790975203,0.2028546600591213,20.28546600591213,18.65026118909464,528.8984876605947,22.9977931041349,0.7382493890050394,0.09280078027515043,9.280078027515042,0.09470909448668087,0.013720356255555977,0.11713392444358713,0.7388499790975203,mensal,BMW San Luis Potosi,Mexico,experimento
